I,Q,A
1171,"¿Qué artículos han sido derogados por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970?","Los artículos 61, 62, 63, 64, 65, 66, 67, 68 y 69 fueron derogados por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1172,"¿Cuál es el contenido del Artículo 61 del Código Penal boliviano?","El Artículo 61, que trataba sobre el 'Período de Prueba', fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1173,"¿De qué trataba el artículo 62 del Código Penal?","El Artículo 62 trataba sobre la 'Revocatoria', pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1174,"¿Qué regulación contenía el artículo 63 del Código Penal?","El Artículo 63, que trataba sobre la 'Extinción de la pena', fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1175,"¿Cuál era el enfoque del artículo 64 del Código Penal antes de ser derogado?","El Artículo 64 se refería al 'Perdón Judicial', pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1176,"¿Sobre qué trataba el artículo 65 del Código Penal boliviano?","El Artículo 65 trataba sobre la 'Responsabilidad Civil', pero también fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1177,"¿Qué regulaba el artículo 66 del Código Penal?","El Artículo 66 abordaba la 'Libertad Condicional', pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1178,"¿Qué aspectos abarcaba el artículo 67 del Código Penal boliviano?","El Artículo 67 trataba sobre las 'Condiciones' para la libertad condicional, pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1179,"¿Cuál era el objetivo del artículo 68 del Código Penal?","El Artículo 68 regulaba la 'Revocatoria' en el contexto de la libertad condicional, pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1180,"¿Qué efectos contemplaba el artículo 69 del Código Penal antes de ser derogado?","El Artículo 69 abarcaba los 'Efectos' de la libertad condicional, pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1181,"¿Qué establece el Artículo 70 del Código Penal boliviano?","El Artículo 70 establece el principio de 'Nulla Poena Sine Juditio', que prohíbe condenar a alguien sin ser oído y juzgado conforme al Código de Procedimiento Penal. ley 1768 de 10 de marzo de 1997 del codigo penal."
1182,"¿En qué condiciones puede ejecutarse una sanción según el artículo 70 del Código Penal?","El Artículo 70 establece que una sanción solo puede ejecutarse en virtud de una sentencia de una autoridad judicial competente y en cumplimiento de la ley. ley 1768 de 10 de marzo de 1997 del codigo penal."
1183,"¿Qué principio se resalta en el artículo 70 del Código Penal?","El principio destacado en el artículo 70 es 'Nulla Poena Sine Juditio', que significa que nadie será sancionado sin haber sido oído y juzgado. ley 1768 de 10 de marzo de 1997 del codigo penal."
1184,"¿Qué autoridad tiene la capacidad de emitir una sanción según el artículo 70?","Según el artículo 70, solo una autoridad judicial competente tiene la capacidad de emitir una sanción. ley 1768 de 10 de marzo de 1997 del codigo penal."
1185,"¿Qué condiciones establece el artículo 70 para la ejecución de una sentencia?","El artículo 70 establece que ninguna sanción podrá ejecutarse sin sentencia emitida por una autoridad judicial competente y que cumpla con la ley. ley 1768 de 10 de marzo de 1997 del codigo penal."
1186,"¿Qué garantía judicial proporciona el artículo 70 del Código Penal?","El artículo 70 garantiza que nadie podrá ser sancionado sin un juicio conforme al Código de Procedimiento Penal. ley 1768 de 10 de marzo de 1997 del codigo penal."
1187,"¿Qué se prohíbe expresamente en el artículo 70 respecto a la ejecución de sanciones?","El artículo 70 prohíbe expresamente ejecutar sanciones sin una sentencia judicial y fuera de las condiciones establecidas por la ley. ley 1768 de 10 de marzo de 1997 del codigo penal."
1188,"¿Qué requisitos deben cumplirse para que una sanción sea válida según el artículo 70?","Para que una sanción sea válida según el artículo 70, debe ser emitida por una autoridad judicial competente y en cumplimiento de la ley. ley 1768 de 10 de marzo de 1997 del codigo penal."
1189,"¿Cómo protege el artículo 70 los derechos de los acusados en el sistema penal boliviano?","El artículo 70 protege los derechos de los acusados al garantizar que no serán sancionados sin un juicio conforme a derecho, en presencia de una autoridad judicial competente. ley 1768 de 10 de marzo de 1997 del codigo penal."
1190,"¿Por qué es importante el principio de 'Nulla Poena Sine Juditio' en el artículo 70?","El principio de 'Nulla Poena Sine Juditio' es importante porque asegura que ningún individuo será sancionado sin un debido proceso judicial. ley 1768 de 10 de marzo de 1997 del codigo penal."
1191,"¿Qué significa que la sanción debe ser 'en cumplimiento de una ley' según el artículo 70?","Significa que la sanción debe estar basada en una ley vigente y ser ejecutada de acuerdo a lo que esa ley establece, como se detalla en el artículo 70. ley 1768 de 10 de marzo de 1997 del codigo penal."
1192,"¿Qué relación existe entre el artículo 70 y el Código de Procedimiento Penal?","El artículo 70 del Código Penal establece que nadie será sancionado sin haber sido oído y juzgado conforme al Código de Procedimiento Penal, vinculando ambos cuerpos normativos. ley 1768 de 10 de marzo de 1997 del codigo penal."
1193,"¿Cómo asegura el artículo 70 el cumplimiento de las decisiones judiciales?","El artículo 70 asegura que ninguna sanción se ejecutará si no proviene de una sentencia válida y en cumplimiento con la ley, lo que garantiza el respeto a las decisiones judiciales. ley 1768 de 10 de marzo de 1997 del codigo penal."
1194,"¿Qué establece el artículo 71 sobre el decomiso de bienes tras la comisión de un delito?","El artículo 71 establece que la comisión de un delito lleva aparejada la pérdida de los instrumentos con que se hubiere ejecutado y de los efectos que de él provinieren, a menos que pertenezcan a un tercero no responsable. ley 1768 de 10 de marzo de 1997 del codigo penal."
1195,"¿En qué condiciones los instrumentos decomisados pueden ser vendidos según el artículo 71?","Los instrumentos decomisados pueden ser vendidos en pública subasta si son de lícito comercio, para cubrir la responsabilidad civil en casos de insolvencia. ley 1768 de 10 de marzo de 1997 del codigo penal."
1196,"¿Qué regula el artículo 71 Bis en relación al decomiso de bienes?","El artículo 71 Bis regula el decomiso de recursos y bienes provenientes directa o indirectamente de la legitimación de ganancias ilícitas, con condiciones sobre los actos que puedan justificar su condena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1197,"¿Qué sucede si los recursos del delito se fusionan con bienes legítimos según el artículo 71 Bis?","Si los recursos del delito se fusionan con bienes legítimos, el decomiso solo se ordenará hasta el valor estimado de los recursos ilícitos que se hayan unido al bien. ley 1768 de 10 de marzo de 1997 del codigo penal."
1198,"¿Qué determina el artículo 72 sobre el Juez de Vigilancia?","El artículo 72 ha sido derogado por la Disposición Final Sexta del Código de Procedimiento Penal aprobado por Ley Nº 1970 de 1999. ley 1768 de 10 de marzo de 1997 del codigo penal."
1199,"¿Cómo se computa la detención preventiva según el artículo 73?","El artículo 73 establece que el tiempo de detención preventiva se computará como parte cumplida de la pena privativa de libertad, a razón de un día de detención por un día de presidio o reclusión. ley 1768 de 10 de marzo de 1997 del codigo penal."
1200,"¿Qué medidas se aplican si un condenado sufre enajenación mental según el artículo 74?","El artículo 74 establece que, si el condenado sufre enajenación mental tras la sentencia, se suspenderá la pena privativa de libertad y se le aplicará una medida asegurativa de internamiento en una casa de salud. ley 1768 de 10 de marzo de 1997 del codigo penal."
1201,"¿Qué porcentaje del producto del trabajo de los internos se retiene según el artículo 75?","El artículo 75 establece que la Administración Penitenciaria deberá retener un 20% del producto del trabajo de los internos para cubrir la responsabilidad civil emergente del delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1202,"¿Cómo se computan las penas conforme al artículo 77?","El artículo 77 establece que las penas se computarán conforme al Código de Procedimiento Penal, considerando el día como 24 horas, y el mes y año según el calendario. ley 1768 de 10 de marzo de 1997 del codigo penal."
1203,"¿Qué servicios organiza el Estado según el artículo 78 para asistir a la víctima y al sancionado?","El artículo 78 establece que el Estado, mediante una ley especial, organizará un Servicio de Asistencia Social para asistir a la víctima, al sancionado, al liberado y a sus familias. ley 1768 de 10 de marzo de 1997 del codigo penal."
1204,"¿Qué sucede con los bienes decomisados que no son de lícito comercio según el artículo 71?","El artículo 71 establece que los bienes decomisados que no son de lícito comercio serán destruidos o inutilizados. ley 1768 de 10 de marzo de 1997 del codigo penal."
1205,"¿Cuál es el destino de los bienes decomisados que pertenecen a un tercero no responsable según el artículo 71?","Según el artículo 71, los bienes que pertenecen a un tercero no responsable podrán ser recobrados por su propietario. ley 1768 de 10 de marzo de 1997 del codigo penal."
1206,"¿Cómo se administra el decomiso de bienes en los casos de legitimación de ganancias ilícitas según el artículo 71 Bis?","El artículo 71 Bis establece que el decomiso de bienes en estos casos debe ser inventariado por un notario de fe pública para su identificación y localización. ley 1768 de 10 de marzo de 1997 del codigo penal."
1207,"¿Qué sucede con los bienes decomisados cuyo propietario demuestre su buena fe según el artículo 71 Bis?","Si el propietario demuestra que adquirió los bienes a precio justo o por prestaciones equivalentes y actuó de buena fe, los bienes no serán decomisados según el artículo 71 Bis. ley 1768 de 10 de marzo de 1997 del codigo penal."
1208,"¿Cómo se realiza el cómputo de la privación de libertad en caso de detención policial según el artículo 73?","El artículo 73 establece que el cómputo de la privación de libertad incluye la detención sufrida por el condenado desde el día de su detención, incluso en sede policial. ley 1768 de 10 de marzo de 1997 del codigo penal."
1209,"¿Qué ocurre si el condenado recobra la salud mental según el artículo 74?","Si el condenado recobra la salud mental, deberá volver a cumplir la pena en el establecimiento correspondiente, descontándose el tiempo que pasó en la casa de salud, salvo fraude, según el artículo 74. ley 1768 de 10 de marzo de 1997 del codigo penal."
1210,"¿Qué ocurre si hay fraude en la determinación de la enajenación mental según el artículo 74?","El artículo 74 dispone que si hubo fraude para determinar o prolongar la enajenación mental, el juez podrá ordenar que el tiempo de internamiento no sea computado como parte de la pena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1211,"¿Qué casos están cubiertos por la retención del producto del trabajo de los internos según el artículo 75?","El artículo 75 establece que el 20% retenido del producto del trabajo de los internos se utiliza para satisfacer la responsabilidad civil emergente del delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1212,"¿Qué sucede con los bienes decomisados que no pueden ser presentados físicamente según el artículo 71 Bis?","El artículo 71 Bis permite que se ordene la confiscación del valor de los bienes decomisados cuando estos no puedan ser presentados físicamente. ley 1768 de 10 de marzo de 1997 del codigo penal."
1213,"¿Qué medidas de seguridad incluye el artículo 79 respecto al ejercicio de una profesión o industria?","El artículo 79 establece como medida de seguridad la suspensión o prohibición de ejercer determinada industria, comercio, profesión, cargo, empleo, oficio o autoridad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1214,"¿Qué artículo establece las condiciones bajo las cuales pueden ser decomisados bienes tras la comisión de un delito?","El artículo 71 regula el decomiso de bienes tras la comisión de un delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1215,"¿Qué artículo me protege en caso de que los bienes decomisados no sean de lícito comercio?","El artículo 71 asegura que los bienes no de lícito comercio sean destruidos o inutilizados. ley 1768 de 10 de marzo de 1997 del codigo penal."
1216,"¿En qué artículo se contempla el decomiso de bienes provenientes de la legitimación de ganancias ilícitas?","El decomiso de bienes provenientes de la legitimación de ganancias ilícitas se contempla en el artículo 71 Bis. ley 1768 de 10 de marzo de 1997 del codigo penal."
1217,"¿Qué artículo establece que se puede ordenar la confiscación del valor de bienes cuando no puedan ser presentados físicamente?","El artículo 71 Bis establece que se puede ordenar la confiscación del valor de los bienes en estos casos. ley 1768 de 10 de marzo de 1997 del codigo penal."
1218,"¿Qué artículo me garantiza que el tiempo de mi detención preventiva se computará como parte de mi pena?","El artículo 73 garantiza que el tiempo de detención preventiva se computará como parte de la pena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1219,"¿Qué artículo protege mis derechos si soy condenado pero posteriormente sufro enajenación mental?","El artículo 74 protege tus derechos si sufres enajenación mental después de ser condenado. ley 1768 de 10 de marzo de 1997 del codigo penal."
1220,"¿En qué artículo se establece el porcentaje del producto del trabajo de los internos que se retiene para cubrir responsabilidad civil?","El artículo 75 establece que el 20% del producto del trabajo de los internos se retiene para cubrir la responsabilidad civil. ley 1768 de 10 de marzo de 1997 del codigo penal."
1221,"¿Qué artículo regula cómo se deben computar las penas en términos de días, meses y años?","El artículo 77 regula cómo se computan las penas en términos de días, meses y años. ley 1768 de 10 de marzo de 1997 del codigo penal."
1222,"¿En qué artículo se organiza un Servicio de Asistencia Social para víctimas, sancionados y sus familias?","El artículo 78 organiza un Servicio de Asistencia Social especializado para víctimas, sancionados y sus familias. ley 1768 de 10 de marzo de 1997 del codigo penal."
1223,"¿Qué artículo me protege si soy declarado inimputable debido a un estado mental y absuelto por esa causa?","El artículo 80 protege a aquellos que sean declarados inimputables por su estado mental, ordenando su internación en un establecimiento adecuado. ley 1768 de 10 de marzo de 1997 del codigo penal."
1224,"¿Qué artículo establece el internamiento para semi-imputables y bajo qué condiciones puede aplicarse?","El artículo 81 regula el internamiento de semi-imputables y permite un tratamiento especial o transferencia a un establecimiento adecuado si lo requiere su estado. ley 1768 de 10 de marzo de 1997 del codigo penal."
1225,"¿Qué artículo establece el tiempo máximo de internación para los semi-imputables?","El artículo 81 establece que el tiempo de internación no puede exceder el término de la pena impuesta, salvo por razones de seguridad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1226,"¿Qué artículo menciona la posibilidad de aplicar internamiento a reincidentes?","El artículo 82 establece que los reincidentes, después de cumplir su pena, pueden ser internados en casas de trabajo, reforma o colonias penales agrícolas. ley 1768 de 10 de marzo de 1997 del codigo penal."
1227,"¿Qué artículo fue derogado en relación a la suspensión o prohibición de actividades?","El artículo 83, que trataba sobre la suspensión o prohibición de actividades, fue derogado por la Ley Nº 1768 de 1997. ley 1768 de 10 de marzo de 1997 del codigo penal."
1228,"¿Qué artículo regula la vigilancia especial por parte de la autoridad y su duración?","El artículo 84 regula la vigilancia por la autoridad, que puede durar de un mes a dos años, sometiendo al condenado a una vigilancia especial. ley 1768 de 10 de marzo de 1997 del codigo penal."
1229,"¿Qué artículo establece la caución de buena conducta y por cuánto tiempo puede durar?","El artículo 85 regula la caución de buena conducta, que puede durar entre seis meses y tres años, imponiendo al condenado la obligación de prestar fianza. ley 1768 de 10 de marzo de 1997 del codigo penal."
1230,"¿Qué artículo menciona la ejecución de las medidas de seguridad junto con una pena?","El artículo 86 establece que cuando se aplique una pena y una medida de seguridad conjuntamente, la medida de seguridad se ejecutará después del cumplimiento de la pena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1231,"¿Qué artículo define la responsabilidad civil derivada de la responsabilidad penal?","El artículo 87 define que toda persona responsable penalmente es también responsable civilmente y debe reparar los daños materiales y morales causados. ley 1768 de 10 de marzo de 1997 del codigo penal."
1232,"¿Qué artículo establece que la responsabilidad civil tiene preferencia sobre el pago de la multa?","El artículo 88 establece que la responsabilidad civil será preferente al pago de la multa y cualquier otra obligación contraída después del delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1233,"¿Qué artículo regula la hipoteca legal y el secuestro de bienes como medidas para asegurar la responsabilidad civil?","El artículo 90 regula que los bienes inmuebles de los responsables se considerarán hipotecados desde el momento del delito, y puede ordenarse el secuestro de bienes muebles y su retención. ley 1768 de 10 de marzo de 1997 del codigo penal."
1234,"¿Qué artículo menciona la posibilidad de transferir a un semi-imputable a un establecimiento penitenciario?","El artículo 81 establece que el juez puede transferir al semi-imputable a un establecimiento penitenciario si considera que la internación ya no es necesaria. ley 1768 de 10 de marzo de 1997 del codigo penal."
1235,"¿Qué artículo menciona la revisión periódica de la medida de internamiento para reincidentes?","El artículo 82 establece que la medida de internamiento para reincidentes será revisada periódicamente cada dos años de oficio. ley 1768 de 10 de marzo de 1997 del codigo penal."
1236,"¿Qué artículo menciona la asistencia social durante la vigilancia por la autoridad?","El artículo 84 establece que, si es necesario, el condenado sometido a vigilancia por la autoridad podrá recibir asistencia social. ley 1768 de 10 de marzo de 1997 del codigo penal."
1237,"¿Qué artículo regula la devolución del monto de la caución de buena conducta en caso de buen comportamiento?","El artículo 85 establece que, si el condenado observa buena conducta, se devolverá el monto de la fianza o se cancelará la caución. ley 1768 de 10 de marzo de 1997 del codigo penal."
1238,"¿Qué artículo menciona la exención de responsabilidad civil en casos de justificación?","El artículo 89 establece que quienes estén amparados por una causa de justificación, excepto el causante del estado de necesidad, estarán exentos de la responsabilidad civil. ley 1768 de 10 de marzo de 1997 del codigo penal."
1239,"¿Qué artículo menciona que los bienes de los responsables se consideran hipotecados para asegurar la responsabilidad civil?","El artículo 90 establece que, desde el momento de la comisión del delito, los bienes inmuebles de los responsables se consideran hipotecados para cubrir la responsabilidad civil. ley 1768 de 10 de marzo de 1997 del codigo penal."
1240,"¿Qué artículo menciona que la responsabilidad civil incluye tanto daños materiales como morales?","El artículo 87 menciona que la responsabilidad civil cubre tanto los daños materiales como los morales causados por el delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1241,"¿Qué artículo menciona que la caución de buena conducta puede ser sustituida por otras medidas de seguridad?","El artículo 85 menciona que, si el condenado no observa buena conducta, el juez puede sustituir la fianza por otras medidas de seguridad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1242,"¿Qué artículo menciona que la vigilancia por la autoridad puede convertirse en otras medidas si persisten los motivos que la originaron?","El artículo 84 establece que, si persisten los motivos que originaron la vigilancia, esta puede convertirse en otras medidas de seguridad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1243,"¿Qué artículo menciona que el tiempo de internación de los semi-imputables se computará como parte de la pena?","El artículo 81 establece que el tiempo de internación de los semi-imputables se computará como parte de la pena impuesta. ley 1768 de 10 de marzo de 1997 del codigo penal."
1244,"¿Qué artículo me protege si soy semi-imputable y necesito un tratamiento especial?","El artículo 81 me protege en caso de ser semi-imputable y necesitar un tratamiento especial. ley 1768 de 10 de marzo de 1997 del codigo penal."
1245,"¿Qué artículo establece la aplicación de internamiento para reincidentes tras cumplir su pena?","El artículo 82 establece la aplicación de internamiento para reincidentes después de cumplir su pena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1246,"¿Qué artículo establece que puedo ser sometido a vigilancia especial por parte de la autoridad?","El artículo 84 establece la posibilidad de ser sometido a vigilancia especial por parte de la autoridad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1247,"¿Qué artículo me obliga a prestar fianza de buena conducta tras una condena?","El artículo 85 establece la obligación de prestar fianza de buena conducta tras una condena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1248,"¿Qué artículo menciona que toda persona responsable penalmente también lo es civilmente?","El artículo 87 menciona que toda persona responsable penalmente también es responsable civilmente. ley 1768 de 10 de marzo de 1997 del codigo penal."
1249,"¿Qué artículo asegura que la responsabilidad civil tiene preferencia sobre el pago de otras obligaciones?","El artículo 88 asegura que la responsabilidad civil tiene preferencia sobre el pago de la multa y otras obligaciones. ley 1768 de 10 de marzo de 1997 del codigo penal."
1250,"¿Qué artículo me exime de responsabilidad civil si estoy amparado por una causa de justificación?","El artículo 89 me exime de responsabilidad civil si estoy amparado por una causa de justificación. ley 1768 de 10 de marzo de 1997 del codigo penal."
1251,"¿Qué artículo regula la hipoteca de mis bienes en caso de responsabilidad civil tras la comisión de un delito?","El artículo 90 regula la hipoteca de bienes inmuebles para asegurar la responsabilidad civil tras la comisión de un delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1252,"¿Qué artículo asegura que mi caución de buena conducta será devuelta si cumplo con lo establecido?","El artículo 85 asegura la devolución de la caución de buena conducta si se observa buena conducta durante el plazo establecido. ley 1768 de 10 de marzo de 1997 del codigo penal."
1253,"¿Qué artículo garantiza que, en caso de ser reincidente, mi internamiento será revisado periódicamente?","El artículo 82 garantiza la revisión periódica del internamiento para reincidentes cada dos años. ley 1768 de 10 de marzo de 1997 del codigo penal."
1254,"¿Qué artículo me permite ser transferido a un establecimiento penitenciario si ya no es necesario mi internamiento como semi-imputable?","El artículo 81 permite la transferencia a un establecimiento penitenciario si ya no es necesario el internamiento como semi-imputable. ley 1768 de 10 de marzo de 1997 del codigo penal."
1255,"¿Qué artículo establece medidas específicas para la readaptación social de reincidentes?","El artículo 82 establece medidas de internamiento en casas de trabajo, reforma o colonias agrícolas para la readaptación social de reincidentes. ley 1768 de 10 de marzo de 1997 del codigo penal."
1256,"¿Qué artículo menciona la duración máxima de la vigilancia especial a la que puedo ser sometido?","El artículo 84 menciona que la vigilancia especial puede durar entre un mes y dos años. ley 1768 de 10 de marzo de 1997 del codigo penal."
1257,"¿Qué artículo garantiza que la fianza de buena conducta será determinada según mi situación económica?","El artículo 85 garantiza que la fianza de buena conducta será determinada por el juez tomando en cuenta la situación económica del condenado. ley 1768 de 10 de marzo de 1997 del codigo penal."
1258,"¿Qué artículo me obliga a reparar los daños materiales y morales causados por un delito si soy responsable penalmente?","El artículo 87 obliga a toda persona penalmente responsable a reparar los daños materiales y morales causados. ley 1768 de 10 de marzo de 1997 del codigo penal."
1259,"¿Qué artículo asegura que la responsabilidad civil tiene prioridad sobre cualquier obligación adquirida después del delito?","El artículo 88 asegura que la responsabilidad civil tiene prioridad sobre cualquier obligación contraída después de cometido el delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1260,"¿Qué artículo establece que el Estado puede ser responsable civilmente cuando no se determine el causante del daño?","El artículo 89 establece que, si no se determina el causante, el Estado puede asumir la responsabilidad civil de forma subsidiaria. ley 1768 de 10 de marzo de 1997 del codigo penal."
1261,"¿Qué artículo menciona que el secuestro de bienes muebles puede ser ordenado para asegurar la responsabilidad civil?","El artículo 90 menciona que el juez puede ordenar el secuestro de bienes muebles para asegurar la responsabilidad civil. ley 1768 de 10 de marzo de 1997 del codigo penal."
1262,"¿Qué artículo me protege si, tras una condena, cumplo con las condiciones de buena conducta impuestas?","El artículo 85 me protege, garantizando la devolución de la fianza si cumplo con las condiciones de buena conducta. ley 1768 de 10 de marzo de 1997 del codigo penal."
1263,"¿Qué artículo establece que las medidas de seguridad se ejecutarán después de cumplir una pena?","El artículo 86 establece que las medidas de seguridad se ejecutarán después del cumplimiento de la pena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1264,"¿Qué artículo establece que la responsabilidad civil incluye la restitución de bienes al ofendido?","El artículo 91 establece que la responsabilidad civil incluye la restitución de los bienes del ofendido. ley 1768 de 10 de marzo de 1997 del codigo penal."
1265,"¿Qué artículo menciona la mancomunidad de la responsabilidad civil entre todos los responsables del delito?","El artículo 92 menciona que la responsabilidad civil es mancomunada entre todos los responsables del delito. ley 1768 de 10 de marzo de 1997 del codigo penal."
1266,"¿Qué artículo obliga a quienes lucran del producto de un delito a resarcir los daños?","El artículo 93 obliga a quienes lucran del producto de un delito a resarcir los daños hasta la cuantía en que se hubieren beneficiado. ley 1768 de 10 de marzo de 1997 del codigo penal."
