I,Q,A
16,"¿Qué establece el artículo 14 del Código Penal sobre el dolo?","El artículo 14 del Código Penal establece que actúa dolosamente quien realiza un hecho previsto en un tipo penal con conocimiento y voluntad, aceptando la posibilidad de su realización."
17,"¿Qué señala el artículo 29 sobre los días-multa en el Código Penal?","El artículo 29 del Código Penal Boliviano establece que la multa consiste en el pago de una cantidad de dinero fijada por el juez en días-multa, según la capacidad económica del condenado y otros factores como sus ingresos y cargas familiares."
18,"¿Qué dice el artículo 87 del Código Penal sobre la responsabilidad civil?","El artículo 87 del Código Penal establece que toda persona responsable penalmente también lo es civilmente y está obligada a reparar los daños materiales y morales causados por el delito."
19,"¿Qué ley regula la lucha contra la corrupción en Bolivia?","La Ley N° 004 de 31 de marzo de 2010, conocida como la Ley de Lucha Contra la Corrupción, Enriquecimiento Ilícito e Investigación de Fortunas 'Marcelo Quiroga Santa Cruz', regula la lucha contra la corrupción en Bolivia."
20,"¿Qué establece la Ley N° 054 de 2010 sobre la protección de niñas, niños y adolescentes?","La Ley N° 054 de 8 de noviembre de 2010 establece normas para proteger la vida, integridad física, psicológica y sexual, la salud y la seguridad de niñas, niños y adolescentes, modificando varios artículos del Código Penal."
21,"¿Qué sanciona el artículo 110 del Código Penal sobre sometimiento a dominio extranjero?","El artículo 110 del Código Penal Boliviano sanciona con treinta años de presidio a quien realice actos tendientes a someter total o parcialmente la Nación al dominio extranjero o menoscabar su independencia o integridad."
22,"¿Qué establece el artículo 17 del Código Penal sobre la inimputabilidad?","El artículo 17 del Código Penal establece que está exento de pena quien, por enfermedad mental o grave perturbación de la conciencia, no pueda comprender la antijuridicidad de su acción o conducirse conforme a esta comprensión."
23,"¿Qué regula el artículo 25 del Código Penal sobre las sanciones?","El artículo 25 del Código Penal Boliviano establece que las sanciones comprenden penas y medidas de seguridad, cuyo objetivo es la enmienda y readaptación social del delincuente, además de las funciones preventivas."
24,"¿Qué responsabilidad regula el artículo 13 Ter del Código Penal?","El artículo 13 Ter del Código Penal Boliviano regula la responsabilidad penal del órgano y del representante, estableciendo que el administrador de hecho o derecho de una persona jurídica responderá personalmente por los actos cometidos en el marco de la entidad."
25,"¿Qué ley boliviana sanciona la trata y tráfico de personas?","La Ley N° 3325 de 18 de enero de 2006 sanciona la trata y tráfico de personas y otros delitos relacionados, estableciendo medidas de prevención y protección para las víctimas."
26,"¿Qué establece el artículo 281 sexies del Código Penal sobre la discriminación?","El artículo 281 sexies del Código Penal Boliviano sanciona los actos de discriminación, entendiéndose por ello toda distinción, exclusión o restricción basada en motivos de raza, sexo, religión, entre otros, que menoscabe derechos o libertades de una persona."
27,"¿Qué menciona el artículo 15 del Código Penal sobre la culpa?","El artículo 15 del Código Penal establece que actúa culposamente quien, por no observar el cuidado debido, no toma conciencia de que realiza un tipo penal o lo realiza confiando en que evitará el resultado, pero no lo consigue."
28,"¿Qué establece el artículo 45 del Código Penal sobre el concurso real de delitos?","El artículo 45 del Código Penal establece que cuando una persona comete dos o más delitos con designios independientes mediante una o varias acciones, será sancionada con la pena del delito más grave, y el juez podrá aumentar la pena hasta la mitad del máximo establecido."
29,"¿Qué dice el artículo 44 del Código Penal sobre el concurso ideal de delitos?","El artículo 44 del Código Penal establece que cuando con una sola acción u omisión se violan diversas disposiciones legales no excluyentes entre sí, se impondrá la pena del delito más grave, pudiendo el juez aumentar el máximo hasta en una cuarta parte."
30,"¿Qué regula el artículo 13 del Código Penal sobre la culpabilidad?","El artículo 13 del Código Penal Boliviano regula que no se podrá imponer una pena si el actuar del agente no le es reprochable penalmente. La culpabilidad, y no el resultado, es el límite de la pena, por lo que esta sólo se aplicará si el acto fue realizado culposamente."
31,"¿Qué establece el artículo 19 del Código Penal sobre la Actio Libera in Causa?","El artículo 19 del Código Penal establece que quien provoque voluntariamente su incapacidad para cometer un delito será sancionado con la pena prevista para el delito doloso, y si debía prever la realización del tipo penal, será sancionado con la pena del delito culposo."
32,"¿Qué señala el artículo 37 del Código Penal sobre la fijación de la pena?","El artículo 37 del Código Penal señala que corresponde al juez, atendiendo la personalidad del autor, la gravedad del hecho y las circunstancias, determinar la pena aplicable dentro de los límites legales."
33,"¿Qué sanciona el artículo 111 del Código Penal sobre el espionaje?","El artículo 111 del Código Penal sanciona con treinta años de presidio sin derecho a indulto a quien procure documentos, objetos o informaciones secretas de orden político o militar para favorecer a otros países, poniendo en peligro la seguridad del Estado."
34,"¿Qué establece el artículo 281 septies del Código Penal sobre la difusión e incitación al racismo?","El artículo 281 septies del Código Penal sanciona a quienes, mediante cualquier medio de comunicación, difundan ideas basadas en la superioridad o inferioridad racial, o inciten al odio o la violencia por motivos racistas o discriminatorios."
35,"¿Qué sanciona el artículo 23 del Código Penal sobre la complicidad?","El artículo 23 del Código Penal sanciona al cómplice que facilite o coopere dolosamente en la ejecución de un hecho antijurídico, aunque sin esa ayuda el delito igual se hubiera cometido. La pena será atenuada conforme al artículo 39."
36,"¿Qué regula el artículo 38 del Código Penal sobre la apreciación de la personalidad del autor?","El artículo 38 del Código Penal regula que para apreciar la personalidad del autor se tomarán en cuenta factores como su edad, educación, costumbres, conducta precedente y posterior, motivaciones, situación económica y social, entre otros."
37,"¿Qué dice el artículo 16 del Código Penal sobre el error de tipo?","El artículo 16 del Código Penal establece que el error invencible sobre un elemento constitutivo del tipo penal excluye la responsabilidad penal. Si el error es vencible, la infracción será sancionada como delito culposo cuando la ley lo contemple."
38,"¿Qué regula el artículo 48 del Código Penal sobre la ejecución de la pena de presidio?","El artículo 48 del Código Penal establece que la pena de presidio se cumplirá en una penitenciaría organizada conforme al sistema progresivo, donde el trabajo obligatorio remunerado y la asistencia educativa sean medios de readaptación social."
39,"¿Qué establece el artículo 281 nonies del Código Penal sobre insultos racistas?","El artículo 281 nonies del Código Penal establece sanciones para quienes profieran insultos o agresiones verbales por motivos racistas o discriminatorios, afectando la dignidad de las personas."
40,"¿Qué ley protege a las personas que viven con VIH-SIDA en Bolivia?","La Ley N° 3729 de 8 de agosto de 2007 protege los derechos humanos de las personas que viven con VIH-SIDA, estableciendo medidas de prevención, protección y asistencia integral multidisciplinaria."
41,"¿Qué regula el artículo 53 del Código Penal sobre el cumplimiento de penas para mujeres?","El artículo 53 del Código Penal establece que las penas privativas de libertad impuestas a mujeres se cumplirán en establecimientos especiales o en otras dependencias de las penitenciarías, pero siempre separadas de los hombres."
42,"¿Qué sanciona el artículo 109 del Código Penal sobre traición?","El artículo 109 del Código Penal sanciona con treinta años de presidio sin derecho a indulto al boliviano que tome armas contra la patria, se una a sus enemigos o les preste ayuda durante una guerra extranjera."
43,"¿Qué establece el artículo 279 del Código Penal sobre el aborto impune?","El artículo 279 del Código Penal establece que el aborto no será punible si fue realizado para salvar la vida de la mujer o si el embarazo fue producto de una violación o incesto, siempre que se cumplan con las formalidades legales."
44,"¿Qué dice el artículo 66 del Código Penal sobre la libertad condicional?","El artículo 66 del Código Penal, derogado por la Ley N° 1970 del Código de Procedimiento Penal, establecía la posibilidad de libertad condicional para los reclusos que cumplieran ciertos requisitos."
45,"¿Qué establece la Ley N° 1768 de 1997?","La Ley N° 1768 de 1997 modifica el Código Penal Boliviano e incluye reformas importantes en diversos artículos relacionados con el castigo de delitos graves, incluyendo la ampliación de sanciones y la incorporación de nuevas figuras penales."
46,"¿Qué artículo del Código Penal trata sobre el decomiso de recursos ilícitos?","El artículo 71 Bis del Código Penal regula el decomiso de recursos y bienes provenientes de ganancias ilícitas obtenidas mediante delitos como el lavado de dinero o el narcotráfico."
47,"¿Qué establece el artículo 75 del Código Penal sobre el producto del trabajo de los internos?","El artículo 75 del Código Penal establece que el veinte por ciento del producto del trabajo de los internos será retenido por la Administración Penitenciaria hasta satisfacer la responsabilidad civil emergente del delito."
48,"¿Qué ley protege a las víctimas de delitos contra la libertad sexual en Bolivia?","La Ley N° 2033 de 29 de octubre de 1999 protege a las víctimas de delitos contra la libertad sexual, estableciendo normas para su defensa y asistencia legal, además de modificar varios artículos del Código Penal para fortalecer las sanciones."
49,"¿Qué regula el artículo 5 del Código Penal sobre la aplicación de la ley penal a las personas?","El artículo 5 del Código Penal establece que la ley penal no reconoce fueros ni privilegios personales, pero se aplicará a todas las personas mayores de dieciséis años al momento de cometer el hecho delictivo."
50,"¿Qué establece el artículo 10 del Código Penal sobre el delito imposible?","El artículo 10 del Código Penal establece que si el resultado de un delito no se produce por la ineptitud de los medios empleados o por impropiedad del objeto, el juez solo podrá imponer medidas de seguridad."
51,"¿Qué establece el artículo 71 del Código Penal sobre el decomiso de instrumentos del delito?","El artículo 71 del Código Penal establece que la comisión de un delito lleva aparejada la pérdida de los instrumentos con los que se ejecutó, así como de los efectos provenientes del delito, salvo que pertenezcan a un tercero no responsable."
52,"¿Qué regula el artículo 15 del Código Penal sobre la culpa?","El artículo 15 del Código Penal establece que actúa culposamente quien no observa el cuidado a que está obligado conforme a las circunstancias, y realiza el hecho confiando en que evitará el resultado, pero no lo consigue."
53,"¿Qué menciona el artículo 54 del Código Penal sobre la enseñanza de oficio a condenados?","El artículo 54 del Código Penal menciona que los condenados que no tengan oficio conocido deberán aprender uno, y los analfabetos recibirán educación básica."
54,"¿Qué establece el artículo 2 del Código Penal sobre sentencias extranjeras?","El artículo 2 del Código Penal establece que si un delito cometido en el extranjero ha sido juzgado allí, y el agente es juzgado nuevamente en Bolivia, se computará la pena cumplida en el extranjero si fuera del mismo tipo de condena."
55,"¿Qué sanciona el artículo 112 del Código Penal sobre la introducción clandestina con fines de espionaje?","El artículo 112 del Código Penal sanciona con privación de libertad de cinco a diez años a quien se introduzca clandestinamente en lugares o zonas militares con fines de espionaje, en tiempo de guerra."
56,"¿Qué dice el artículo 20 del Código Penal sobre la autoría mediata?","El artículo 20 del Código Penal establece que es autor mediato quien dolosamente se sirve de otra persona como instrumento para la realización de un delito."
57,"¿Qué establece el artículo 281 octies del Código Penal sobre las organizaciones racistas?","El artículo 281 octies del Código Penal sanciona la creación o participación en organizaciones o asociaciones que promuevan el racismo o la discriminación."
58,"¿Qué ley boliviana regula la lucha contra la corrupción?","La Ley N° 004 de 31 de marzo de 2010, conocida como Ley Marcelo Quiroga Santa Cruz, regula la lucha contra la corrupción, enriquecimiento ilícito e investigación de fortunas en Bolivia."
59,"¿Qué menciona el artículo 77 del Código Penal sobre el cómputo de las penas?","El artículo 77 del Código Penal establece que las penas se computarán conforme al Código de Procedimiento Penal, calculándose el día en veinticuatro horas y los meses y años según el calendario."
60,"¿Qué regula el artículo 8 del Código Penal sobre la tentativa de delito?","El artículo 8 del Código Penal regula que quien mediante actos idóneos o inequívocos comience la ejecución de un delito y no lo consuma por causas ajenas a su voluntad será sancionado con dos tercios de la pena establecida para el delito consumado."
61,"¿Por qué el artículo 53 del Código Penal separa a las mujeres de los hombres en el cumplimiento de penas privativas de libertad?","El artículo 53 separa a las mujeres de los hombres en el cumplimiento de penas para proteger su seguridad y dignidad, dado que las condiciones de encarcelamiento mixto podrían aumentar los riesgos de violencia o abuso."
62,"¿Qué implicaciones tiene que el artículo 13 del Código Penal establezca que no hay pena sin culpabilidad?","Este principio implica que, en el sistema penal boliviano, la pena debe estar basada en la responsabilidad subjetiva del autor, es decir, solo se puede castigar a una persona si se demuestra que su conducta es reprochable desde el punto de vista penal."
63,"¿Cómo influye la previsión del artículo 41 del Código Penal sobre la reincidencia en la política de prevención del delito?","La previsión sobre la reincidencia en el artículo 41 busca disuadir a los delincuentes de volver a cometer delitos al imponer sanciones adicionales a quienes reincidan, fomentando así la prevención a través del aumento de la pena."
64,"¿Qué podría significar para los derechos humanos la inclusión del artículo 281 quinquies sobre racismo en el Código Penal?","La inclusión del artículo 281 quinquies sobre racismo refuerza la protección de los derechos humanos al tipificar conductas racistas como delitos, enviando un mensaje claro de que la discriminación no será tolerada y garantizando un mayor respeto a la igualdad."
65,"¿Cómo el artículo 10 del Código Penal sobre delito imposible refleja el enfoque del sistema penal hacia la intencionalidad delictiva?","El artículo 10 refleja que el sistema penal boliviano valora la intencionalidad en la comisión de delitos, ya que si los medios o el objeto son inidóneos para consumar el delito, no se impone una pena sino medidas de seguridad, porque no hubo un riesgo real."
66,"¿Por qué es importante que el artículo 2 del Código Penal reconozca las sentencias extranjeras?","Es importante porque garantiza que las penas cumplidas en el extranjero sean reconocidas en Bolivia, evitando la duplicidad de castigos por el mismo delito y asegurando un respeto por la jurisdicción y decisiones de otros países en materia penal."
67,"¿Qué sugiere la necesidad de una Ley específica como la N° 004 de lucha contra la corrupción en Bolivia?","La existencia de una ley específica como la Ley N° 004 sugiere que la corrupción es un problema estructural en Bolivia, y que se requiere un marco normativo especializado para abordarla, debido a la gravedad y complejidad de los delitos relacionados con la corrupción."
68,"¿Por qué el artículo 12 del Código Penal exime de responsabilidad a quien actúe en estado de necesidad?","El artículo 12 exime de responsabilidad porque el sistema penal reconoce que, en situaciones extremas donde se busca proteger un bien mayor o de igual valor, la actuación del individuo es justificable y no debe ser penalizada, dado que no había otra alternativa."
69,"¿Qué efecto tendría el reconocimiento del artículo 13 Bis sobre la comisión por omisión en la responsabilidad penal?","El reconocimiento de la comisión por omisión implica que las personas que tienen un deber jurídico de actuar (como padres, médicos, etc.) pueden ser penalmente responsables si no evitan un resultado delictivo, equiparándose su inacción a una acción delictiva."
70,"¿Cómo fortalece el artículo 54 del Código Penal la rehabilitación de los reclusos sin oficio o educación?","El artículo 54 fortalece la rehabilitación al obligar a los reclusos a aprender un oficio o recibir educación básica, lo que les ofrece una mejor oportunidad de reintegrarse a la sociedad y reducir la reincidencia delictiva al contar con herramientas para su desarrollo personal y laboral."
71,"¿Qué ley me protege en caso de asesinato?","La Ley N° 1768 de 10 de marzo de 1997 del Código Penal Boliviano regula los delitos contra la vida, incluyendo el asesinato, estableciendo penas severas para quienes cometen este delito."
72,"¿Qué ley me protege en caso de ser víctima de trata de personas?","La Ley N° 3325 de 18 de enero de 2006 protege a las víctimas de trata y tráfico de personas, imponiendo sanciones a los responsables de este delito y medidas de asistencia a las víctimas."
73,"¿Qué ley me ampara en caso de ser discriminado por mi raza?","La Ley N° 045 de 8 de octubre de 2010, Ley Contra el Racismo y Toda Forma de Discriminación, protege a las personas contra actos discriminatorios basados en su raza o etnia, estableciendo sanciones para los responsables."
74,"¿Qué ley me protege si soy víctima de corrupción en el sector público?","La Ley N° 004 de 31 de marzo de 2010, Ley Marcelo Quiroga Santa Cruz, protege a las víctimas de corrupción en el sector público, promoviendo la lucha contra el enriquecimiento ilícito y sancionando a los culpables de corrupción."
75,"¿Qué ley me protege si soy víctima de un delito contra la libertad sexual?","La Ley N° 2033 de 29 de octubre de 1999 protege a las víctimas de delitos contra la libertad sexual, imponiendo medidas para la protección y asistencia a las víctimas."
76,"¿Qué ley me protege en caso de sufrir violencia en el hogar?","La Ley N° 348 de 9 de marzo de 2013, Ley Integral para Garantizar a las Mujeres una Vida Libre de Violencia, protege a las personas contra la violencia intrafamiliar o doméstica, ofreciendo medidas de protección y sancionando a los agresores."
77,"¿Qué ley me protege si soy víctima de racismo en un lugar público?","La Ley N° 045 de 8 de octubre de 2010, Ley Contra el Racismo y Toda Forma de Discriminación, protege a las personas que son víctimas de racismo en cualquier espacio, estableciendo sanciones para los responsables de actos racistas."
78,"¿Qué ley protege a las personas que viven con VIH-SIDA en Bolivia?","La Ley N° 3729 de 8 de agosto de 2007 protege a las personas que viven con VIH-SIDA, promoviendo la asistencia integral y protegiendo sus derechos humanos."
79,"¿Qué ley me protege si soy un menor de edad víctima de explotación?","El Código Niño, Niña y Adolescente (Ley N° 548 de 17 de julio de 2014) protege a los menores de edad contra la explotación laboral y cualquier forma de abuso, estableciendo sanciones severas contra los responsables."
80,"¿Qué ley me protege en caso de ser víctima de violencia política?","La Ley N° 243 de 28 de mayo de 2012, Ley Contra el Acoso y Violencia Política hacia las Mujeres, protege a las personas contra la violencia política, con especial enfoque en las mujeres que participan en la vida política del país."
81,"¿Qué ley me protege en caso de ser víctima de extorsión?","La Ley N° 1768 de 10 de marzo de 1997 del Código Penal Boliviano sanciona la extorsión, protegiendo a las personas contra este delito mediante penas de privación de libertad para los responsables."
82,"¿Qué ley me protege si soy víctima de abuso por parte de un funcionario público?","La Ley N° 004 de 31 de marzo de 2010, Ley Marcelo Quiroga Santa Cruz, protege a las personas víctimas de abuso de poder por parte de funcionarios públicos, sancionando a quienes cometen actos de corrupción o abuso de autoridad."
83,"¿Qué ley me protege si soy víctima de un delito en el ámbito cibernético?","La Ley N° 164 de 8 de agosto de 2011, Ley General de Telecomunicaciones, Tecnologías de Información y Comunicación, establece medidas para proteger a las personas de delitos cibernéticos y sancionar a los responsables."
84,"¿Qué ley me protege si soy víctima de usurpación de identidad?","La Ley N° 164 de 8 de agosto de 2011, Ley General de Telecomunicaciones, incluye disposiciones sobre delitos informáticos, entre ellos la usurpación de identidad, protegiendo a las víctimas de estos delitos."
85,"¿Qué ley me protege si soy víctima de difamación o calumnia?","La Ley N° 1768 de 10 de marzo de 1997 del Código Penal Boliviano protege a las personas contra los delitos de difamación y calumnia, estableciendo sanciones para quienes dañen la reputación de otros mediante declaraciones falsas."
86,"¿Qué ley me protege en caso de sufrir acoso laboral?","La Ley N° 348 de 9 de marzo de 2013, Ley Integral para Garantizar a las Mujeres una Vida Libre de Violencia, también contempla el acoso laboral como una forma de violencia, brindando protección contra este tipo de agresiones."
87,"¿Qué ley me protege si soy víctima de violencia psicológica en el hogar?","La Ley N° 348 de 9 de marzo de 2013, Ley Integral para Garantizar a las Mujeres una Vida Libre de Violencia, protege a las víctimas de violencia psicológica, proporcionando medidas de protección y sanciones a los agresores."
88,"¿Qué ley protege a los niños y adolescentes en situación de riesgo en Bolivia?","El Código Niño, Niña y Adolescente (Ley N° 548 de 17 de julio de 2014) protege a los menores de edad que se encuentren en situación de riesgo, brindándoles protección integral."
89,"¿Qué ley me protege si soy una persona adulta mayor víctima de maltrato?","La Ley N° 369 de 1 de mayo de 2013, Ley General de las Personas Adultas Mayores, protege a los adultos mayores de cualquier forma de maltrato, abuso o negligencia, estableciendo sanciones para los responsables."
90,"¿Qué ley me protege si soy víctima de explotación laboral?","El Código Penal Boliviano, modificado por la Ley N° 1768 de 10 de marzo de 1997, sanciona la explotación laboral, protegiendo a las personas contra este tipo de abusos y estableciendo penas para quienes explotan a otros laboralmente."
91,"¿Qué ley me protege si soy víctima de violencia económica dentro de mi hogar?","La Ley N° 348 de 9 de marzo de 2013, Ley Integral para Garantizar a las Mujeres una Vida Libre de Violencia, protege a las víctimas de violencia económica dentro del hogar, sancionando a quienes retengan o controlen los recursos de manera abusiva."
92,"¿Qué ley me protege si soy víctima de secuestro?","El Código Penal Boliviano, modificado por la Ley N° 1768 de 10 de marzo de 1997, protege a las personas contra el secuestro, estableciendo penas de privación de libertad para los responsables de este delito."
93,"¿Qué ley me protege si soy víctima de acoso sexual en mi lugar de trabajo?","La Ley N° 348 de 9 de marzo de 2013, Ley Integral para Garantizar a las Mujeres una Vida Libre de Violencia, protege a las personas contra el acoso sexual en el lugar de trabajo, estableciendo sanciones para los agresores."
94,"¿Qué ley me protege si soy víctima de violencia política por ser mujer?","La Ley N° 243 de 28 de mayo de 2012, Ley Contra el Acoso y Violencia Política hacia las Mujeres, protege a las mujeres que son víctimas de violencia política, estableciendo sanciones para los responsables."
95,"¿Qué ley me protege si soy una persona con discapacidad víctima de discriminación?","La Ley N° 223 de 2 de marzo de 2012, Ley General para Personas con Discapacidad, protege a las personas con discapacidad contra actos de discriminación y garantiza sus derechos."
96,"¿Qué ley me protege si soy víctima de intimidación o amenazas?","El Código Penal Boliviano, modificado por la Ley N° 1768 de 10 de marzo de 1997, protege a las personas contra la intimidación o amenazas, estableciendo sanciones para quienes cometan este tipo de delitos."
97,"¿Qué ley me protege si soy víctima de negligencia médica?","El Código Penal Boliviano, modificado por la Ley N° 1768 de 10 de marzo de 1997, sanciona a los responsables de negligencia médica, estableciendo protección para las víctimas de este tipo de delitos."
98,"¿Qué ley me protege si soy víctima de explotación sexual?","La Ley N° 3325 de 18 de enero de 2006 protege a las víctimas de explotación sexual, imponiendo sanciones a los responsables de la trata y tráfico de personas con fines de explotación sexual."
99,"¿Qué ley me protege si soy víctima de violencia simbólica en los medios de comunicación?","La Ley N° 348 de 9 de marzo de 2013, Ley Integral para Garantizar a las Mujeres una Vida Libre de Violencia, protege a las personas contra la violencia simbólica, incluyendo la difundida en los medios de comunicación."
100,"¿Qué ley me protege si soy víctima de tráfico de órganos?","La Ley N° 004 de 31 de marzo de 2010, Ley Marcelo Quiroga Santa Cruz, protege a las víctimas de tráfico de órganos, estableciendo sanciones severas para quienes cometan este delito."
101,"¿Si cometo asesinato qué tipo de sanción recibo?","Según la Ley N° 1768 del Código Penal Boliviano, el asesinato es sancionado con la pena de presidio de 30 años, sin derecho a indulto."
102,"¿Si cometo un delito de trata de personas qué sanción recibo?","Según la Ley N° 3325, el delito de trata de personas es sancionado con una pena de privación de libertad de 8 a 12 años, con agravantes dependiendo de las circunstancias del delito."
103,"¿Qué sanción recibo si cometo un delito de corrupción como funcionario público?","Según la Ley N° 004 de 31 de marzo de 2010, Ley Marcelo Quiroga Santa Cruz, los delitos de corrupción son sancionados con penas de 5 a 10 años de privación de libertad, dependiendo de la gravedad del caso."
104,"¿Qué sanción recibo si cometo difamación contra otra persona?","Según la Ley N° 1768 del Código Penal Boliviano, la difamación es sancionada con una pena de privación de libertad de 3 meses a 2 años o multa, dependiendo de la gravedad del caso."
105,"¿Qué sanción recibo si cometo acoso sexual en mi lugar de trabajo?","Según la Ley N° 348, el acoso sexual es sancionado con una pena de privación de libertad de 2 a 4 años, dependiendo de la gravedad y circunstancias del acoso."
106,"¿Si cometo el delito de tráfico de drogas qué tipo de sanción recibo?","Según la Ley N° 1008 del Régimen de la Coca y Sustancias Controladas, el tráfico de drogas es sancionado con penas de 10 a 25 años de privación de libertad, dependiendo de la cantidad y circunstancias del delito."
107,"¿Qué sanción recibo si cometo un acto de discriminación por razones de raza?","Según la Ley N° 045 de 8 de octubre de 2010, Ley Contra el Racismo y Toda Forma de Discriminación, los actos de discriminación racial son sancionados con una pena de 1 a 5 años de privación de libertad."
108,"¿Qué sanción recibo si cometo violación contra una persona?","Según la Ley N° 1768 del Código Penal Boliviano, la violación es sancionada con una pena de 15 a 20 años de presidio, con agravantes si la víctima es menor de edad o si hubo violencia extrema."
109,"¿Si cometo violencia intrafamiliar qué tipo de sanción recibo?","Según la Ley N° 348, la violencia intrafamiliar es sancionada con penas de 2 a 8 años de privación de libertad, dependiendo de la gravedad de las lesiones infligidas a la víctima."
110,"¿Qué sanción recibo si cometo un delito de falsificación de documentos?","Según el Código Penal Boliviano modificado por la Ley N° 1768, la falsificación de documentos es sancionada con una pena de 1 a 6 años de privación de libertad, dependiendo de la magnitud y las consecuencias del delito."
111,"¿Qué sanción recibo si cometo homicidio?","Según la Ley N° 1768 del Código Penal Boliviano, el homicidio es sancionado con una pena de presidio de 5 a 20 años, dependiendo de las circunstancias y agravantes del caso."
112,"¿Si cometo un delito de secuestro qué tipo de sanción recibo?","Según la Ley N° 1768 del Código Penal Boliviano, el secuestro es sancionado con una pena de privación de libertad de 5 a 15 años."
113,"¿Qué sanción recibo si cometo fraude fiscal?","Según la Ley N° 2492, el fraude fiscal es sancionado con penas que van de 3 a 6 años de privación de libertad, además de sanciones económicas que incluyen el pago de multas e intereses sobre el monto defraudado."
114,"¿Qué sanción recibo si cometo aborto ilegal?","Según la Ley N° 1768 del Código Penal Boliviano, el aborto ilegal es sancionado con una pena de privación de libertad de 1 a 6 años, dependiendo de las circunstancias."
115,"¿Si cometo el delito de tráfico de órganos qué sanción recibo?","Según la Ley N° 004, el tráfico de órganos es sancionado con una pena de 8 a 12 años de presidio, con agravantes si la víctima es menor de edad o si hubo violencia durante el delito."
116,"¿Qué sanción recibo si cometo un robo agravado?","Según la Ley N° 1768 del Código Penal Boliviano, el robo agravado es sancionado con una pena de 3 a 10 años de presidio, dependiendo de las circunstancias agravantes del delito."
117,"¿Qué sanción recibo si cometo un delito de usurpación de funciones?","Según la Ley N° 1768 del Código Penal Boliviano, la usurpación de funciones es sancionada con una pena de 1 a 4 años de privación de libertad."
